Name,X,Y,AGL,Grid RefX,Grid RefY
RS 50 m tower,-99,-1062,50,74300,820980
Cemetary BM,-1019,-102,-10000,73380,821940
Milestone,885,-328,-10000,75284,821714
TV tower,-809,-331,-10000,73590,821711
Base station,447,1264,-10000,74846,823306
Pacman lake,1808,1545,-10000,76207,823587
Askernish House,-745,1803,-10000,73654,823845
HT Hill Top,984,1695,10,75383,823737
HT 10 m mf,988,1693,10,75387,823735
HT 10 m t,982,1703,10,75381,823745
HT 50 m tower,982,1711,48,75381,823753
HT WM,961,1721,10,75360,823763
CP Centre Point,1279,1423,10,75678,823465
CP UK mf,1287,1415,10,75686,823457
CP BSE 40,1281,1422,10,75680,823464
CP FRG mf,1277,1424,10,75676,823466
CP FRG 17 m tower,1289,1451,16,75688,823493
BNW10,914,1768,10,75313,823810
BNW20,844,1833,10,75243,823875
BSE10,1059,1629,10,75458,823671
BSE20,1129,1561,10,75528,823603
BSE30,1207,1493,10,75606,823535
BSE40,1281,1423,10,75680,823465
BSE50,1355,1355,10,75754,823397
BSE60,1434,1282,10,75833,823324
BSE70,1506,1218,10,75905,823260
BSE80,1583,1151,10,75982,823193
BSE90,1647,1088,10,76046,823130
BSE100,1721,1021,10,76120,823063
BSE110,1796,955,10,76195,822997
BSE130,1939,818,10,76338,822860
BSE150,2091,681,10,76490,822723
BSE170,2237,543,10,76636,822585
ANE10,1055,1770,10,75454,823812
ANE20,1124,1842,10,75523,823884
ANE40,1262,1975,10,75661,824017
ASW10,920,1625,10,75319,823667
ASW20,858,1562,10,75257,823604
ASW35,763,1456,10,75162,823498
ASW50,651,1336,10,75050,823378
ASW UK 30 m tower,571,1253,30,74970,823295
ASW85,414,1080,10,74813,823122
AANE10,1347,1498,10,75746,823540
AANE20,1408,1568,10,75807,823610
AANE30,1472,1633,10,75871,823675
AANE40,1539,1703,10,75938,823745
AANE50,1607,1771,10,76006,823813
AANE60,1674,1844,10,76073,823886
AASW10 mf,1214,1354,10,75613,823396
AASW10 t,1224,1346,10,75623,823388
AASW20,1154,1278,10,75553,823320
AASW30 mf,1084,1211,10,75483,823253
AASW30 t,1094,1202,10,75493,823244
AASW40,1018,1132,10,75417,823174
AASW50 mf,942,1065,10,75341,823107
AASW50 t,953,1058,10,75352,823100
AASW60,875,996,10,75274,823038
AASW70,809,926,10,75208,822968
AASW80,741,853,10,75140,822895
AASW90,670,778,10,75069,822820
